SI_исходный,SI_расчётный,разница
2.181818181818182,2.181818181818182,0.0
2.8,2.8,0.0
2.307692307692307,2.3076923076923075,4.440892098500626e-16
3.503759398496241,3.503759398496241,0.0
2.809090909090909,2.8090909090909095,4.440892098500626e-16
12.65822784810127,12.658227848101266,3.552713678800501e-15
3.899999999999999,3.9000000000000004,1.3322676295501878e-15
2.804545454545455,2.804545454545454,1.3322676295501878e-15
4.068181818181817,4.0681818181818175,8.881784197001252e-16
9.77198697068404,9.77198697068404,0.0
2.042857142857143,2.042857142857143,0.0
3.6,3.5999999999999996,4.440892098500626e-16
7.02576112412178,7.025761124121779,8.881784197001252e-16
111.1111111111111,111.11111111111114,4.263256414560601e-14
32.73170731707317,32.73170731707317,0.0
5.379999999999999,5.379999999999997,1.7763568394002505e-15
3.0,3.000000000000001,8.881784197001252e-16
8.162162162162163,8.162162162162158,5.329070518200751e-15
125.0,125.00000000000003,2.842170943040401e-14
6.72,6.72,0.0
4.55,4.55,0.0
8.701754385964913,8.701754385964911,1.7763568394002505e-15
41.66666666666666,41.666666666666664,7.105427357601002e-15
3.72,3.7199999999999993,8.881784197001252e-16
2.156666666666667,2.1566666666666667,4.440892098500626e-16
8.923076923076923,8.923076923076922,1.7763568394002505e-15
7.451612903225807,7.451612903225807,0.0
23.55555555555556,23.555555555555557,3.552713678800501e-15
26.39393939393939,26.39393939393939,0.0
3.053333333333334,3.053333333333333,1.3322676295501878e-15
49.99999999999999,49.99999999999998,1.4210854715202004e-14
2.546666666666667,2.5466666666666673,4.440892098500626e-16
1.0,1.0,0.0
9.595744680851066,9.595744680851066,0.0
4.652173913043478,4.652173913043478,0.0
3.241666666666666,3.241666666666666,0.0
1.061111111111111,1.0611111111111111,2.220446049250313e-16
1.833333333333333,1.8333333333333333,2.220446049250313e-16
6.156249999999998,6.156249999999998,0.0
96.4,96.4,0.0
2.763636363636363,2.763636363636364,1.3322676295501878e-15
10.0,9.999999999999998,1.7763568394002505e-15
11.28571428571429,11.285714285714286,3.552713678800501e-15
8.7,8.700000000000001,1.7763568394002505e-15
111.1111111111111,111.11111111111113,2.842170943040401e-14
4.140845070422535,4.140845070422535,0.0
1.0,1.0,0.0
1.0,1.0,0.0
28.43373493975903,28.433734939759034,3.552713678800501e-15
0.7,0.7,0.0
3.622222222222222,3.622222222222223,1.3322676295501878e-15
6.012820512820513,6.012820512820512,8.881784197001252e-16
7.633333333333331,7.633333333333331,0.0
13.1,13.1,0.0
18.40490797546012,18.404907975460123,3.552713678800501e-15
3.15,3.150000000000001,8.881784197001252e-16
34.48275862068966,34.48275862068966,0.0
30.61224489795918,30.61224489795919,1.0658141036401503e-14
26.54867256637168,26.548672566371682,3.552713678800501e-15
18.40490797546012,18.40490797546012,0.0
30.625,30.625,0.0
30.0,29.999999999999996,3.552713678800501e-15
1.0,1.0,0.0
7.246376811594203,7.246376811594203,0.0
8.272727272727275,8.272727272727277,1.7763568394002505e-15
1.0,1.0,0.0
60.00000000000001,60.000000000000014,7.105427357601002e-15
32.60869565217392,32.608695652173935,1.4210854715202004e-14
14.58620689655172,14.586206896551719,1.7763568394002505e-15
22.75510204081632,22.75510204081632,0.0
65.21739130434784,65.21739130434784,0.0
